name	lat	lon
Henderson, TX	32.153	-94.799
Fort Hunt, VA	38.733	-77.058
Brighton, AL	33.434	-86.947
Provo, AR	34.038	-94.108
Bessemer, AL	33.402	-86.954
Aurora, IN	39.057	-84.901
Stockton, KS	39.438	-99.265
Paducah, KY	37.083	-88.6
Chandler, MO	39.3	-94.383
Birmingham, AL	33.521	-86.802
Blue Springs, AL	34.126	-86.543
Brent, AL	32.937	-87.165
Bridgeport, AL	34.948	-85.714
Camden, AL	31.991	-87.291
Carrollton, AL	33.262	-88.095
Center Point, AL	33.646	-86.684
Chelsea, AL	33.34	-86.63
Clayton, AL	31.878	-85.45
Cleveland, AL	33.991	-86.577
Collinsville, AL	34.264	-85.861
Concord, AL	33.468	-87.031
Danville, AL	34.415	-87.088
Daphne, AL	30.604	-87.904
Decatur, AL	34.606	-86.983
Dothan, AL	31.223	-85.39
Douglas, AL	34.427	-85.729
East Florence, AL	34.81	-87.649
Enterprise, AL	31.315	-85.855
Fairfield, AL	33.486	-86.912
Fairhope, AL	30.523	-87.903
Fayetteville, AL	33.146	-86.406
Florence, AL	34.8	-87.677
Gadsden, AL	34.014	-86.007
Geneva, AL	31.033	-85.864
Greensboro, AL	32.705	-87.596
Greenville, AL	31.83	-86.618
Hamilton, AL	34.142	-87.989
Helena, AL	33.296	-86.844
Holt, AL	33.234	-87.484
Homewood, AL	33.472	-86.801
Hoover, AL	33.405	-86.811
Hueytown, AL	33.451	-86.997
Huntsville, AL	34.73	-86.586
Irvington, AL	34.64	-86.929
Jackson, AL	31.509	-87.894
Jacksonville, AL	33.814	-85.761
Jasper, AL	33.831	-87.278
Kirkland, AL	31.189	-87.031
Lafayette, AL	32.9	-85.401
Leesburg, AL	34.18	-85.761
Linden, AL	32.306	-87.798
Lincoln, AL	33.613	-86.118
Livingston, AL	32.584	-88.187
Madison, AL	34.699	-86.748
Marion, AL	32.632	-87.319
Mobile, AL	30.694	-88.043
Monroeville, AL	31.528	-87.325
Montgomery, AL	32.367	-86.3
Mount Vernon, AL	31.085	-88.013
Mountain Brook, AL	33.501	-86.752
New Hope, AL	34.537	-86.394
Newton, AL	31.335	-85.605
Northport, AL	33.229	-87.577
Opelika, AL	32.645	-85.378
Oxford, AL	33.614	-85.835
Ozark, AL	31.459	-85.64
Pelham, AL	33.286	-86.81
Phenix City, AL	32.471	-85.001
Pleasant Grove, AL	33.491	-86.97
Prattville, AL	32.464	-86.46
Prichard, AL	30.739	-88.079
Riverside, AL	33.606	-86.204
Rockford, AL	32.89	-86.22
Russellville, AL	34.508	-87.729
Selma, AL	32.407	-87.021
Shelby, AL	33.11	-86.584
Springville, AL	33.775	-86.472
Sylvania, AL	34.562	-85.812
Talladega, AL	33.436	-86.106
Taylor, AL	31.165	-85.468
Taylor, AL	31.975	-86.233
Thomasville, AL	31.913	-87.736
Tillmans Corner, AL	30.59	-88.171
Troy, AL	31.809	-85.97
Trussville, AL	33.62	-86.609
Tuscaloosa, AL	33.21	-87.569
Vestavia Hills, AL	33.449	-86.788
Wilsonville, AL	33.234	-86.484
Woodstock, AL	33.207	-87.15
York, AL	32.486	-88.296
Augusta, AR	35.282	-91.365
Austin, AR	34.998	-91.984
Bella Vista, AR	36.43	-94.232
Bella Vista, 	36.481	-94.273
Benton, AR	34.565	-92.587
Bentonville, AR	36.373	-94.209
Blytheville, AR	35.927	-89.919
Bryant, AR	34.596	-92.489
Burton, AR	35.921	-89.856
Cabot, AR	34.975	-92.017
Camden, AR	33.585	-92.834
Carlisle, AR	34.783	-91.747
Charleston, AR	35.297	-94.036
Clarksville, AR	35.471	-93.467
Clinton, AR	35.591	-92.46
Conway, AR	35.089	-92.442
Danville, AR	35.054	-93.394
Decatur, AR	36.336	-94.461
Dover, AR	35.401	-93.114
El Dorado, AR	33.208	-92.666
Farmington, AR	36.042	-94.247
Fayetteville, AR	36.063	-94.157
Forrest City, AR	35.008	-90.79
Fort Smith, AR	35.386	-94.399
Goshen, AR	36.101	-93.991
Greenwood, AR	35.216	-94.256
Harrisburg, AR	35.564	-90.717
Harrison, AR	36.23	-93.108
Helena, AR	34.53	-90.592
Highland, AR	36.276	-91.524
Hot Springs, AR	34.504	-93.055
Huntsville, AR	36.086	-93.741
Jacksonville, AR	34.866	-92.11
Jasper, AR	36.008	-93.187
Jonesboro, AR	35.842	-90.704
Lincoln, AR	35.95	-94.424
Little Rock, AR	34.746	-92.29
Lowell, AR	36.255	-94.131
Macon, AR	34.92	-92.168
Mansfield, AR	35.06	-94.253
Marion, AR	35.215	-90.196
Maumelle, AR	34.867	-92.404
Melbourne, AR	36.06	-91.908
Mountain View, AR	35.868	-92.118
Murfreesboro, AR	34.062	-93.69
Nashville, AR	33.946	-93.847
Newark, AR	35.702	-91.442
Newport, AR	35.605	-91.282
North Little Rock, AR	34.77	-92.267
Ozark, AR	35.487	-93.828
Paragould, AR	36.058	-90.497
Pine Bluff, AR	34.228	-92.003
Pleasant Hill, AR	36.376	-94.114
Prescott, AR	33.803	-93.381
Rogers, AR	36.332	-94.119
Russellville, AR	35.278	-93.134
Salem, AR	36.371	-91.823
Salem, AR	34.629	-92.558
Searcy, AR	35.251	-91.736
Sheridan, AR	34.307	-92.401
Siloam Springs, AR	36.188	-94.54
Springdale, AR	36.187	-94.129
Texarkana, AR	33.442	-94.038
Van Buren, AR	35.437	-94.348
Warren, AR	33.613	-92.065
West Memphis, AR	35.146	-90.185
Woodland, AR	35.524	-93.521
Washington, D.C., DC	38.895	-77.036
Bear, DE	39.629	-75.658
Camden, DE	39.113	-75.542
Clayton, DE	39.291	-75.634
Delaware, DE	39.0	-75.5
Dover, DE	39.158	-75.524
Georgetown, DE	38.69	-75.385
Greenville, DE	39.779	-75.598
Laurel, DE	38.556	-75.571
Middletown, DE	39.45	-75.716
Milford, DE	38.913	-75.428
Milton, DE	38.778	-75.31
New Castle, DE	39.662	-75.566
Newark, DE	39.684	-75.75
Newport, DE	39.714	-75.609
Riverview, DE	39.027	-75.511
Seaford, DE	38.641	-75.611
Smyrna, DE	39.3	-75.605
Wilmington, DE	39.746	-75.547
Wyoming, DE	39.118	-75.559
Altamonte Springs, FL	28.661	-81.366
Andover, FL	25.968	-80.213
Apopka, FL	28.681	-81.51
Arcadia, FL	27.216	-81.858
Aventura, FL	25.956	-80.139
Baldwin, FL	30.303	-81.975
Bartow, FL	27.896	-81.843
Bayonet Point, FL	28.327	-82.683
Bayshore Gardens, FL	27.425	-82.59
Belle Glade, FL	26.685	-80.668
Bellview, FL	30.462	-87.315
Beverly Hills, FL	28.917	-82.458
Bloomingdale, FL	27.894	-82.24
Boca Del Mar, FL	26.345	-80.147
Boca Raton, FL	26.359	-80.083
Bonita Springs, FL	26.34	-81.779
Bowling Green, FL	27.638	-81.824
Boynton Beach, FL	26.525	-80.066
Bradenton, FL	27.499	-82.575
Brandon, FL	27.938	-82.286
Brent, FL	30.469	-87.236
Bristol, FL	30.432	-84.976
Brownsville, FL	25.822	-80.241
Buenaventura Lakes, FL	28.336	-81.353
Campbell, FL	28.259	-81.456
Cape Coral, FL	26.563	-81.95
Carol City, FL	25.941	-80.246
Carrollwood, FL	28.05	-82.493
Carrollwood Village, FL	28.068	-82.521
Casselberry, FL	28.678	-81.328
Citrus Park, FL	28.078	-82.57
Clearwater, FL	27.966	-82.8
Clermont, FL	28.549	-81.773
Cleveland, FL	26.962	-81.984
Cocoa, FL	28.386	-80.742
Coconut Creek, FL	26.252	-80.179
Conway, FL	28.503	-81.331
Cooper City, FL	26.057	-80.272
Coral Gables, FL	25.721	-80.268
Coral Springs, FL	26.271	-80.271
Coral Terrace, FL	25.746	-80.304
Country Walk, FL	25.634	-80.432
Country Club, FL	25.948	-80.317
Crestview, FL	30.762	-86.571
Crystal Lake, FL	28.036	-81.908
Cutler, FL	25.615	-80.311
Cutler Ridge, FL	25.581	-80.347
Dania Beach, FL	26.052	-80.144
Davenport, FL	28.161	-81.602
Davie, FL	26.063	-80.233
Daytona Beach, FL	29.211	-81.023
DeLand, FL	29.028	-81.303
DeBary, FL	28.883	-81.309
Deerfield Beach, FL	26.318	-80.1
Delray Beach, FL	26.461	-80.073
Deltona, FL	28.901	-81.264
Doral, FL	25.82	-80.355
Dover, FL	27.994	-82.22
Dunedin, FL	28.02	-82.772
East Lake, FL	28.111	-82.695
East Pensacola Heights, FL	30.429	-87.18
Edgewater, FL	28.989	-80.902
Edgewood, FL	28.486	-81.372
Egypt Lake-Leto, FL	28.018	-82.506
Englewood, FL	26.962	-82.353
Ensley, FL	30.519	-87.273
Estero, FL	26.438	-81.807
Eustis, FL	28.853	-81.685
Ferry Pass, FL	30.51	-87.212
Florida Ridge, FL	27.58	-80.387
Fort Lauderdale, FL	26.122	-80.143
